1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
409	-0.624974	-0.625002	0.000091	0.766457	777.127064	0.003960	0.000006	0.003960	8.9	9.1	20.0
410	-0.634312	-0.634342	0.000100	1.766457	742.992325	0.003850	0.000006	0.003850	7.5	9.2	18.8
411	-0.634241	-0.634272	0.000103	2.766457	711.730099	0.003426	0.000006	0.003426	10.1	9.2	21.2
412	-0.631025	-0.631050	0.000084	1.795774	742.036782	0.003640	0.000006	0.003640	23.8	12.6	38.3
413	-0.627719	-0.627748	0.000096	2.795512	710.861042	0.003377	0.000006	0.003377	15.2	12.0	28.9
414	-0.599835	-0.599867	0.000106	1.825469	741.071410	0.004018	0.000007	0.004018	17.3	8.8	28.0
415	-0.628203	-0.628233	0.000099	2.803251	710.629943	0.003827	0.000006	0.003827	7.5	8.7	18.1
416	-0.635051	-0.635078	0.000090	3.803251	681.979265	0.003531	0.000006	0.003531	7.6	8.0	16.9
417	-0.650443	-0.650473	0.000100	2.832568	709.755782	0.003949	0.000006	0.003949	8.0	9.5	18.8
418	-0.622007	-0.622036	0.000097	1.861884	739.891002	0.003308	0.000006	0.003308	7.6	7.7	16.9
419	-0.626548	-0.626578	0.000098	0.891201	772.698688	0.003965	0.000006	0.003965	8.5	8.7	18.6
420	-0.613977	-0.614003	0.000086	0.000000	805.490601	0.003474	0.000006	0.003474	7.7	7.9	17.4
421	-0.617948	-0.617980	0.000106	0.000000	805.490601	0.003755	0.000007	0.003755	8.6	7.8	17.7
422	-0.631836	-0.631867	0.000101	0.000000	805.490601	0.005332	0.000006	0.005332	7.7	8.6	18.3
423	-0.625723	-0.625753	0.000099	1.000000	768.877392	0.003697	0.000006	0.003697	7.9	7.8	17.8
424	-0.628487	-0.628517	0.000103	2.000000	735.447940	0.004012	0.000006	0.004012	7.7	8.8	18.3
425	-0.635596	-0.635626	0.000100	2.992735	705.017701	0.003906	0.000006	0.003906	8.1	8.2	17.8
426	-0.629262	-0.629293	0.000102	2.050172	733.847120	0.003321	0.000006	0.003321	9.0	32.5	43.3
427	-0.627619	-0.627652	0.000110	3.050172	703.333945	0.004756	0.000007	0.004756	28.8	8.9	39.4
428	-0.639790	-0.639823	0.000108	2.079489	732.914944	0.003762	0.000007	0.003762	27.1	9.4	38.7
429	-0.625678	-0.625707	0.000099	1.108806	765.093440	0.003883	0.000006	0.003883	7.9	8.6	18.2
430	-0.627666	-0.627698	0.000104	2.108801	731.985285	0.003353	0.000006	0.003353	8.5	7.8	17.7
431	-0.622659	-0.622691	0.000107	1.831251	740.883727	0.003188	0.000007	0.003188	7.5	11.3	20.4
432	-0.632088	-0.632120	0.000107	1.410970	754.777793	0.003686	0.000007	0.003686	8.0	10.6	20.6
433	-0.631787	-0.631819	0.000105	2.410950	722.538064	0.003868	0.000006	0.003868	13.5	8.3	24.1
434	-0.654094	-0.654124	0.000100	1.440267	753.792391	0.005502	0.000006	0.005502	8.2	13.4	23.1
435	-0.635393	-0.635424	0.000104	0.469584	787.872860	0.004159	0.000006	0.004158	12.0	8.6	22.3
436	-0.599015	-0.599046	0.000104	0.000000	805.490601	0.003249	0.000006	0.003249	8.5	8.1	18.2
437	-0.600544	-0.600576	0.000109	0.000000	805.490601	0.003946	0.000007	0.003945	8.0	9.2	18.9
438	-0.644735	-0.644765	0.000098	0.000000	805.490601	0.003332	0.000006	0.003332	20.3	12.4	35.1
439	-0.645628	-0.645658	0.000101	0.000000	805.490601	0.003667	0.000006	0.003667	10.5	17.8	32.3
440	-0.622351	-0.622382	0.000104	0.000000	805.490601	0.003550	0.000006	0.003550	8.0	8.3	18.3
441	-0.649361	-0.649392	0.000103	0.000000	805.490601	0.004670	0.000006	0.004670	12.2	19.1	33.1
442	-0.624663	-0.624695	0.000107	0.000000	805.490601	0.003727	0.000007	0.003727	10.2	10.8	23.2
443	-0.620252	-0.620284	0.000106	0.990343	769.215060	0.004586	0.000006	0.004585	10.4	12.4	24.4
444	-0.616764	-0.616798	0.000113	1.035525	767.637823	0.004232	0.000007	0.004232	7.8	8.5	17.7
445	-0.602266	-0.602298	0.000104	2.035522	734.313845	0.004572	0.000006	0.004572	18.5	9.4	32.1
446	-0.611669	-0.611698	0.000098	1.064841	766.617913	0.003763	0.000006	0.003763	9.1	20.4	33.6
447	-0.608856	-0.608887	0.000104	0.094158	801.895122	0.003172	0.000006	0.003172	8.6	8.2	18.5
448	-0.621154	-0.621184	0.000100	0.000000	805.490601	0.004193	0.000006	0.004193	8.1	18.2	27.7
449	-0.613632	-0.613666	0.000111	0.999996	768.877544	0.004029	0.000007	0.004029	10.1	17.7	30.7
450	-0.634516	-0.634545	0.000098	0.238659	796.439278	0.003358	0.000006	0.003358	8.7	8.3	20.5
451	-0.625738	-0.625771	0.000111	1.236757	760.691073	0.004120	0.000007	0.004119	20.4	9.5	32.2
